,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
157,23,23,1,0,1,-1,1,0,3,12,-39,12,-27,k,4.47,0.49,3.92,1,3,23,-100,60,0.2314224629,0.320050383,1,1,k,50.0,14,correct,correct,1,0
163,24,24,1,0,1,-1,1,0,3,12,-53,12,-41,k,4.71,0.42,3.03,1,3,23,-100,60,0.80191126,0.8903883617,1,1,k,50.0,14,correct,correct,1,0
169,25,25,1,1,1,1,1,0,3,12,35,12,47,k,6.36,0.42,3.57,10,12,32,-100,60,0.1947778621,0.2600340582,1,1,k,50.0,14,correct,correct,1,0
175,26,26,1,0,0,-1,-1,1,1,4,-50,0,-50,d,5.65,0.47,4.66,1,2,22,-100,60,0.3960340741,0.5001766201,1,1,d,40.0,14,correct,correct,1,0
181,27,27,1,1,1,1,1,0,1,4,59,4,63,k,5.29,0.48,4.21,10,12,32,-100,60,0.2135583198,0.2800375991,1,1,k,50.0,14,correct,correct,1,0
187,28,28,1,0,0,-1,-1,0,1,4,-44,0,-44,d,6.52,0.43,4.53,1,2,22,-100,61,0.1743783159,0.2400370745,0,1,k,50.0,14,incorrect,correct,0,1
193,29,29,1,0,1,-1,1,0,1,4,-36,4,-32,k,5.02,0.67,3.15,1,3,23,-100,60,0.0586549676,0.1400039743,1,1,k,50.0,14,correct,incorrect,1,0
199,30,30,1,1,0,1,-1,0,1,4,58,0,58,d,5.97,0.67,4.3,10,11,31,-100,61,0.145753606,0.2100033956,0,1,k,50.0,14,incorrect,correct,0,1
205,31,31,1,0,1,-1,1,0,1,4,-44,4,-40,k,4.3,0.51,3.55,1,3,23,-100,60,0.4498411845,0.5201057497,1,1,k,50.0,14,correct,incorrect,1,0
211,32,32,1,0,0,-1,-1,0,1,4,-57,0,-57,d,4.61,0.51,4.91,1,2,22,-100,60,0.4213835438,0.5401862679,1,1,d,40.0,14,correct,correct,1,0
217,33,33,1,1,0,1,-1,0,1,4,58,0,58,d,6.74,0.63,4.82,10,11,31,-100,61,0.1474793223,0.2500344259,0,1,k,50.0,14,incorrect,correct,0,1
223,34,34,1,1,0,1,-1,0,1,4,38,0,38,d,5.67,0.54,3.36,10,11,31,-100,60,0.2733223303,0.3400630472,1,1,d,40.0,14,correct,incorrect,1,0
229,35,35,1,0,1,-1,1,0,1,4,-32,4,-28,k,4.46,0.5,4.67,1,3,23,-100,60,0.1854613319,0.2500059158,1,1,k,50.0,14,correct,correct,1,0
235,36,36,1,0,0,-1,-1,0,1,4,-37,0,-37,d,6.62,0.56,4.96,1,2,22,-100,61,0.0756598164,0.1299558749,0,1,k,50.0,14,incorrect,correct,0,1
241,37,37,1,1,1,1,1,0,1,4,42,4,46,k,5.53,0.51,4.46,10,12,32,-100,60,0.0789498818,0.1300399797,1,1,k,50.0,14,correct,incorrect,1,0
247,38,38,1,0,0,-1,-1,0,1,4,-31,0,-31,d,5.02,0.59,4.05,1,2,22,-100,60,0.0525615041,0.1199610894,1,1,d,40.0,14,correct,correct,1,0
253,39,39,1,0,0,-1,-1,0,1,4,-34,0,-34,d,5.92,0.43,3.72,1,2,22,-100,60,0.3263582425,0.4001138693,1,1,d,40.0,14,correct,correct,1,0
259,40,40,1,0,0,-1,-1,1,2,8,-37,0,-37,d,6.69,0.41,3.42,1,2,22,-100,61,0.1353075057,0.1999997719,0,1,k,50.0,14,incorrect,correct,0,1
265,41,41,1,0,1,-1,1,0,2,8,-60,8,-52,k,4.74,0.47,4.5,1,3,23,-100,60,0.7311805547,0.8003497619,1,1,k,50.0,14,correct,incorrect,1,0
