"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
58,122,2,0,1,-1,1,0,1,4,-42,4,-38,"k",4.82,0.68,4.81,1,3,23,-100,60,0.0255680044429027,0.190028928722313,1,1,"k",50,3,"correct","incorrect",1,0
59,123,2,0,0,-1,-1,0,1,4,-38,0,-38,"d",4.96,0.43,4.52,1,2,22,-100,60,0.361230669404904,0.490160044497316,1,1,"d",40,3,"correct","correct",1,0
60,124,2,0,1,-1,1,0,1,4,-54,4,-50,"k",4.94,0.6,3.46,1,3,23,-100,61,0.583406199188175,0.700312494031095,0,1,"d",40,3,"incorrect","correct",0,1
61,125,2,0,0,-1,-1,0,1,4,-55,0,-55,"d",5.83,0.59,4.67,1,2,22,-100,60,0.210036415348441,0.33012780581339,1,1,"d",40,3,"correct","incorrect",1,0
62,126,2,1,0,1,-1,0,1,4,41,0,41,"d",6.27,0.67,3.47,10,11,31,-100,60,0.279364417758188,0.400284012914199,1,1,"d",40,3,"correct","correct",1,0
63,127,2,1,0,1,-1,0,1,4,35,0,35,"d",5.41,0.61,3.41,10,11,31,-100,60,0.683198734630423,0.820413577766885,1,1,"d",40,3,"correct","correct",1,0
64,128,2,1,1,1,1,0,1,4,54,4,58,"k",5.01,0.57,3.4,10,12,32,-100,60,0.215200649334292,0.300118571543862,1,1,"k",50,3,"correct","correct",1,0
1,129,3,0,1,-1,1,0,1,4,-49,4,-45,"k",4.91,0.69,3.49,1,3,23,-100,60,0.26330865064665,0.360109385739634,1,1,"k",50,3,"correct","correct",1,0
2,130,3,0,1,-1,1,0,1,4,-40,4,-36,"k",6.95,0.55,3.57,1,3,23,-100,60,0.266207794702495,0.320106101429701,1,1,"k",50,3,"correct","correct",1,0
3,131,3,0,0,-1,-1,0,1,4,-33,0,-33,"d",6.64,0.56,4.37,1,2,22,-100,61,0.288875799800735,0.330104142820346,0,1,"k",50,3,"incorrect","correct",0,1
4,132,3,0,1,-1,1,0,1,4,-59,4,-55,"k",5.48,0.4,3.01,1,3,23,-100,61,0.342933475349128,0.460173047737044,0,1,"d",40,3,"incorrect","incorrect",0,1
5,133,3,1,1,1,1,0,1,4,47,4,51,"k",6,0.67,4.33,10,12,32,-100,61,0.203902568919148,0.640270932693966,0,1,"d",40,3,"incorrect","incorrect",0,1
6,134,3,1,0,1,-1,0,1,4,31,0,31,"d",4.2,0.48,4.45,10,11,31,-100,60,0.299809242082119,0.430189187038195,1,1,"d",40,3,"correct","incorrect",1,0
7,135,3,1,1,1,1,0,1,4,57,4,61,"k",4.02,0.41,4.03,10,12,32,-100,60,0.229868852860818,0.300062692669599,1,1,"k",50,3,"correct","correct",1,0
8,136,3,0,0,-1,-1,0,1,4,-36,0,-36,"d",4.82,0.54,3.99,1,2,22,-100,61,0.227763701939693,0.310066150890634,0,1,"k",50,3,"incorrect","correct",0,1
9,137,3,1,0,1,-1,0,1,4,30,0,30,"d",6.2,0.48,4.28,10,11,31,-100,60,0.279276037912496,0.400143175353151,1,1,"d",40,3,"correct","incorrect",1,0
10,138,3,1,1,1,1,0,1,4,53,4,57,"k",4.4,0.7,4.9,10,12,32,-100,60,0.240376931491483,0.340108456326561,1,1,"k",50,3,"correct","correct",1,0
11,139,3,0,1,-1,1,0,1,4,-58,4,-54,"k",6.41,0.43,3.81,1,3,23,-100,60,0.267792930011638,0.370112273765699,1,1,"k",50,3,"correct","correct",1,0
12,140,3,0,1,-1,1,0,1,4,-57,4,-53,"k",4.92,0.6,3.23,1,3,23,-100,60,0.214047434888926,0.330070501458977,1,1,"k",50,3,"correct","correct",1,0
13,141,3,1,1,1,1,0,1,4,42,4,46,"k",4.53,0.44,3.48,10,12,32,-100,60,0.228183648756385,0.33012381446315,1,1,"k",50,3,"correct","correct",1,0
14,142,3,0,0,-1,-1,0,1,4,-37,0,-37,"d",6.47,0.43,4.69,1,2,22,-100,60,0.80674178573463,0.940398342223489,1,1,"d",40,3,"correct","correct",1,0
15,143,3,1,0,1,-1,1,2,8,52,0,52,"d",5.77,0.46,3.59,10,11,31,-100,60,0.232063809107785,0.380114591600432,1,1,"d",40,3,"correct","correct",1,0
