,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
898,19,147,3,0,1,-1,1,0,3,12,-46,12,-34,k,6.13,0.65,3.78,1,3,23,-100,60,0.2459842812,0.3301098865,1,1,k,50.0,14,correct,incorrect,1,0
904,20,148,3,0,0,-1,-1,0,3,12,-58,0,-58,d,4.22,0.65,3.04,1,2,22,-100,61,0.256507644,0.3401003955,0,1,k,50.0,14,incorrect,correct,0,1
910,21,149,3,1,1,1,1,0,3,12,58,12,70,k,4.53,0.67,3.06,10,12,32,-100,61,0.6269487722,0.6802806192,0,1,d,40.0,14,incorrect,incorrect,0,1
916,22,150,3,1,1,1,1,0,3,12,37,12,49,k,6.02,0.6,4.75,10,12,32,-100,60,0.5218038112,0.5902340366,1,1,k,50.0,14,correct,incorrect,1,0
922,23,151,3,1,1,1,1,0,3,12,52,12,64,k,4.34,0.42,4.92,10,12,32,-100,60,0.2131500552,0.3000938838,1,1,k,50.0,14,correct,correct,1,0
928,24,152,3,1,1,1,1,0,3,12,41,12,53,k,5.51,0.52,3.94,10,12,32,-100,60,0.2729049425,0.370127232,1,1,k,50.0,14,correct,correct,1,0
934,25,153,3,1,0,1,-1,0,3,12,40,0,40,d,4.29,0.41,3.51,10,11,31,-100,61,0.4711636026,0.5402247565,0,1,k,50.0,14,incorrect,correct,0,1
940,26,154,3,1,0,1,-1,0,3,12,31,0,31,d,4.67,0.51,4.6,10,11,31,-100,61,0.6026439126,0.6702487706,0,1,k,50.0,14,incorrect,incorrect,0,1
946,27,155,3,0,1,-1,1,1,0,2,-33,2,-31,k,6.35,0.44,4.11,1,3,23,-100,60,0.2953996959,0.3600509076,1,1,k,50.0,14,correct,incorrect,1,0
952,28,156,3,1,0,1,-1,0,0,2,39,0,39,d,5.38,0.52,3.88,10,11,31,-100,61,0.1172235497,0.1899687786,0,1,k,50.0,14,incorrect,correct,0,1
958,29,157,3,1,1,1,1,0,0,2,55,2,57,k,6.83,0.57,4.86,10,12,32,-100,60,0.5014250773,0.5501559645,1,1,k,50.0,14,correct,incorrect,1,0
964,30,158,3,0,0,-1,-1,0,0,2,-51,0,-51,d,4.88,0.47,3.29,1,2,22,-100,60,0.3038569318,0.3701249512,1,1,d,40.0,14,correct,correct,1,0
970,31,159,3,1,1,1,1,0,0,2,31,2,33,k,5.66,0.65,4.23,10,12,32,-100,61,0.3149958275,0.4001301201,0,1,d,40.0,14,incorrect,correct,0,1
976,32,160,3,0,0,-1,-1,0,0,2,-48,0,-48,d,5.55,0.5,3.28,1,2,22,-100,60,0.2429128882,0.3300885039,1,1,d,40.0,14,correct,incorrect,1,0
982,33,161,3,0,1,-1,1,0,0,2,-47,2,-45,k,5.44,0.62,4.24,1,3,23,-100,60,0.3422486314,0.4301780541,1,1,k,50.0,14,correct,correct,1,0
988,34,162,3,1,1,1,1,0,0,2,41,2,43,k,6.12,0.54,4.61,10,12,32,-100,61,0.4270031695,0.5302188521,0,1,d,40.0,14,incorrect,correct,0,1
994,35,163,3,1,0,1,-1,0,0,2,36,0,36,d,5.18,0.56,3.88,10,11,31,-100,60,0.3667068754,0.4501468128,1,1,d,40.0,14,correct,incorrect,1,0
1000,36,164,3,1,1,1,1,0,0,2,40,2,42,k,6.62,0.51,3.81,10,12,32,-100,60,0.3454916552,0.3801185963,1,1,k,50.0,14,correct,correct,1,0
1006,37,165,3,1,0,1,-1,0,0,2,39,0,39,d,6.0,0.62,4.09,10,11,31,-100,61,0.2888246968,0.3700753436,0,1,k,50.0,14,incorrect,correct,0,1
1012,38,166,3,0,1,-1,1,0,0,2,-43,2,-41,k,4.25,0.4,3.49,1,3,23,-100,61,0.237065752,0.2900862687,0,1,d,40.0,14,incorrect,incorrect,0,1
1018,39,167,3,1,0,1,-1,0,0,2,45,0,45,d,5.8,0.4,3.36,10,11,31,-100,61,0.5569068709,0.5901921267,0,1,k,50.0,14,incorrect,incorrect,0,1
1024,40,168,3,0,1,-1,1,1,2,8,-30,8,-22,k,6.62,0.63,3.62,1,3,23,-100,60,0.0817398801,0.170033947,1,1,k,50.0,14,correct,incorrect,1,0
1030,41,169,3,0,1,-1,1,0,2,8,-42,8,-34,k,6.31,0.62,4.15,1,3,23,-100,60,0.2170177353,0.2700573538,1,1,k,50.0,14,correct,correct,1,0
1036,42,170,3,1,0,1,-1,0,2,8,36,0,36,d,4.77,0.66,3.72,10,11,31,-100,61,0.4006877776,0.5001777605,0,1,k,50.0,14,incorrect,correct,0,1
1042,43,171,3,1,0,1,-1,0,2,8,52,0,52,d,5.64,0.67,4.59,10,11,31,-100,61,0.135971791,0.2000758939,0,1,k,50.0,14,incorrect,incorrect,0,1
1048,44,172,3,0,1,-1,1,0,2,8,-46,8,-38,k,4.04,0.42,4.88,1,3,23,-100,60,0.2856304253,0.3700918795,1,1,k,50.0,14,correct,incorrect,1,0
1054,45,173,3,1,0,1,-1,0,2,8,41,0,41,d,6.34,0.69,3.41,10,11,31,-100,61,0.3168578221,0.4000229221,0,1,k,50.0,14,incorrect,correct,0,1
1060,46,174,3,1,1,1,1,0,2,8,53,8,61,k,5.56,0.44,3.2,10,12,32,-100,60,0.2788450217,0.3300836572,1,1,k,50.0,14,correct,incorrect,1,0
1066,47,175,3,0,1,-1,1,0,2,8,-43,8,-35,k,4.14,0.52,3.08,1,3,23,-100,60,0.4638459155,0.4801995935,1,1,k,50.0,14,correct,correct,1,0
1072,48,176,3,0,0,-1,-1,0,2,8,-47,0,-47,d,6.61,0.53,4.17,1,2,22,-100,60,0.0902812208,0.2100344716,1,1,d,40.0,14,correct,correct,1,0
1078,49,177,3,1,1,1,1,0,2,8,40,8,48,k,4.03,0.69,4.76,10,12,32,-100,60,0.2502639322,0.350129108,1,1,k,50.0,14,correct,correct,1,0
1084,50,178,3,0,0,-1,-1,0,2,8,-54,0,-54,d,6.36,0.54,3.73,1,2,22,-100,61,0.393645498,0.4501382597,0,1,k,50.0,14,incorrect,correct,0,1
1090,51,179,3,0,1,-1,1,0,2,8,-39,8,-31,k,5.08,0.5,3.66,1,3,23,-100,60,0.3130865062,0.3799977135,1,1,k,50.0,14,correct,incorrect,1,0
