trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
19,19,1,1,1,1,1,0,1,4,40,4,44,k,4.13,0.63,3.41,10,12,32,-100,60,0.7360541592,0.9004244228,1,1,k,50.0,16,correct,correct,1,0
20,20,1,0,0,-1,-1,0,1,4,-60,0,-60,d,4.44,0.61,4.52,1,2,22,-100,60,0.5093339096,0.6701299212,1,1,d,40.0,16,correct,correct,1,0
21,21,1,1,0,1,-1,0,1,4,53,0,53,d,6.05,0.64,3.78,10,11,31,-100,61,0.5846871368,0.7503132495,0,1,k,50.0,16,incorrect,correct,0,1
22,22,1,0,0,-1,-1,0,1,4,-38,0,-38,d,5.33,0.53,3.42,1,2,22,-100,61,0.05222023,0.1900334903,0,1,k,50.0,16,incorrect,incorrect,0,1
23,23,1,1,1,1,1,0,1,4,59,4,63,k,5.01,0.47,3.42,10,12,32,-100,60,0.3326352276,0.5001874508,1,1,k,50.0,16,correct,incorrect,1,0
24,24,1,0,1,-1,1,0,1,4,-35,4,-31,k,5.34,0.66,3.37,1,3,23,-100,60,0.2641633693,0.4101660201,1,1,k,50.0,16,correct,correct,1,0
25,25,1,0,0,-1,-1,0,1,4,-46,0,-46,d,5.37,0.58,4.84,1,2,22,-100,60,0.5711293832,0.7203088619,1,1,d,40.0,16,correct,correct,1,0
26,26,1,0,0,-1,-1,0,1,4,-54,0,-54,d,5.49,0.6,3.86,1,2,22,-100,60,0.1404974417,0.2600440132,1,1,d,40.0,16,correct,correct,1,0
27,27,1,1,0,1,-1,0,1,4,45,0,45,d,6.31,0.61,3.97,10,11,31,-100,60,0.0557135147,0.2000286807,1,1,d,40.0,16,correct,correct,1,0
28,28,1,0,0,-1,-1,1,2,8,-46,0,-46,d,6.83,0.67,3.07,1,2,22,-100,61,0.4790224733,0.5802484728,0,1,k,50.0,16,incorrect,correct,0,1
29,29,1,1,0,1,-1,0,2,8,51,0,51,d,4.62,0.48,3.01,10,11,31,-100,60,0.3595186663,0.490122982,1,1,d,40.0,16,correct,incorrect,1,0
30,30,1,1,1,1,1,0,2,8,60,8,68,k,6.25,0.49,3.41,10,12,32,-100,60,0.3205796463,0.4201224374,1,1,k,50.0,16,correct,correct,1,0
31,31,1,0,0,-1,-1,0,2,8,-30,0,-30,d,4.76,0.58,4.78,1,2,22,-100,60,0.5199967955,1.0404796802,1,1,d,40.0,16,correct,correct,1,0
32,32,1,0,1,-1,1,0,2,8,-40,8,-32,k,5.68,0.68,4.45,1,3,23,-100,60,0.2848607889,0.4501647429,1,1,k,50.0,16,correct,correct,1,0
33,33,1,1,0,1,-1,0,2,8,49,0,49,d,5.07,0.53,3.49,10,11,31,-100,60,0.4927769432,0.6402207558,1,1,d,40.0,16,correct,correct,1,0
34,34,1,1,0,1,-1,0,2,8,55,0,55,d,6.37,0.44,4.19,10,11,31,-100,60,0.7176132766,0.9503892562,1,1,d,40.0,16,correct,correct,1,0
35,35,1,1,1,1,1,0,2,8,59,8,67,k,5.69,0.45,4.59,10,12,32,-100,60,0.5663474634,0.800340519,1,1,k,50.0,16,correct,correct,1,0
36,36,1,0,0,-1,-1,0,2,8,-50,0,-50,d,6.12,0.5,3.38,1,2,22,-100,61,0.3196539387,0.4801699858,0,1,k,50.0,16,incorrect,correct,0,1
37,37,1,1,0,1,-1,0,2,8,59,0,59,d,4.71,0.62,3.96,10,11,31,-100,60,1.2475448221,1.3807053111,1,1,d,40.0,16,correct,incorrect,1,0
38,38,1,1,0,1,-1,0,2,8,41,0,41,d,5.21,0.57,4.17,10,11,31,-100,60,0.3045572355,0.5001506734,1,1,d,40.0,16,correct,correct,1,0
39,39,1,0,1,-1,1,0,2,8,-32,8,-24,k,4.93,0.44,3.95,1,3,23,-100,60,0.4842585515,0.6502532938,1,1,k,50.0,16,correct,correct,1,0
40,40,1,0,0,-1,-1,0,2,8,-57,0,-57,d,4.28,0.4,3.87,1,2,22,-100,61,0.3603206421,0.5401736293,0,1,k,50.0,16,incorrect,correct,0,1
41,41,1,0,1,-1,1,1,0,2,-33,2,-31,k,6.17,0.62,3.27,1,3,23,-100,60,0.2337558555,0.380160207,1,1,k,50.0,16,correct,incorrect,1,0
42,42,1,0,1,-1,1,0,0,2,-31,2,-29,k,6.77,0.66,3.75,1,3,23,-100,60,0.4687983505,0.6002807628,1,1,k,50.0,16,correct,correct,1,0
43,43,1,0,1,-1,1,0,0,2,-54,2,-52,k,6.7,0.62,4.2,1,3,23,-100,60,0.2612972964,0.4101243961,1,1,k,50.0,16,correct,correct,1,0
44,44,1,0,0,-1,-1,0,0,2,-41,0,-41,d,4.36,0.42,3.1,1,2,22,-100,60,0.3658338339,0.5301887024,1,1,d,40.0,16,correct,correct,1,0
45,45,1,0,1,-1,1,0,0,2,-60,2,-58,k,5.61,0.6,3.53,1,3,23,-100,60,0.3451555157,0.5101723778,1,1,k,50.0,16,correct,correct,1,0
46,46,1,1,1,1,1,0,0,2,32,2,34,k,4.27,0.66,3.21,10,12,32,-100,61,1.2198212047,1.3506595845,0,1,d,40.0,16,incorrect,correct,0,1
47,47,1,1,1,1,1,0,0,2,53,2,55,k,5.48,0.5,3.48,10,12,32,-100,60,0.2970837217,0.4601508102,1,1,k,50.0,16,correct,incorrect,1,0
48,48,1,1,0,1,-1,0,0,2,34,0,34,d,6.7,0.41,3.83,10,11,31,-100,60,0.458023992,0.6502624169,1,1,d,40.0,16,correct,correct,1,0
49,49,1,1,1,1,1,0,0,2,32,2,34,k,5.16,0.66,3.23,10,12,32,-100,60,0.6558545804,0.800314005,1,1,k,50.0,16,correct,correct,1,0
50,50,1,1,0,1,-1,0,0,2,54,0,54,d,5.19,0.69,4.7,10,11,31,-100,60,0.3249712694,0.5401710635,1,1,d,40.0,16,correct,correct,1,0
51,51,1,0,0,-1,-1,0,0,2,-45,0,-45,d,6.92,0.62,4.23,1,2,22,-100,61,0.2792680552,0.4601490997,0,1,k,50.0,16,incorrect,correct,0,1
52,52,1,1,1,1,1,0,0,2,46,2,48,k,4.22,0.61,4.31,10,12,32,-100,61,0.4592071415,0.660256752,0,1,d,40.0,16,incorrect,incorrect,0,1
54,54,1,1,0,1,-1,0,2,8,30,0,30,d,6.28,0.55,3.11,10,11,31,-100,60,0.3390322179,0.6002391388,1,1,d,40.0,16,correct,incorrect,1,0
55,55,1,0,1,-1,1,0,2,8,-30,8,-22,k,5.38,0.7,3.0,1,3,23,-100,60,0.3166293523,0.4701645319,1,1,k,50.0,16,correct,correct,1,0
56,56,1,1,1,1,1,0,2,8,35,8,43,k,5.78,0.44,3.01,10,12,32,-100,60,0.4383774373,0.6202440595,1,1,k,50.0,16,correct,correct,1,0
57,57,1,0,1,-1,1,0,2,8,-33,8,-25,k,4.35,0.53,4.27,1,3,23,-100,60,0.3241980883,0.5102088701,1,1,k,50.0,16,correct,correct,1,0
58,58,1,0,1,-1,1,0,2,8,-48,8,-40,k,4.14,0.62,4.52,1,3,23,-100,60,1.0982019833,1.2205248223,1,1,k,50.0,16,correct,correct,1,0
59,59,1,1,1,1,1,0,2,8,45,8,53,k,5.77,0.6,4.49,10,12,32,-100,60,0.3506875239,0.5301784389,1,1,k,50.0,16,correct,correct,1,0
60,60,1,1,0,1,-1,0,2,8,40,0,40,d,6.06,0.54,4.35,10,11,31,-100,60,0.6976998717,0.9103936695,1,1,d,40.0,16,correct,correct,1,0
61,61,1,1,1,1,1,0,2,8,47,8,55,k,6.88,0.5,3.31,10,12,32,-100,60,0.3123320961,0.4502126391,1,1,k,50.0,16,correct,correct,1,0
62,62,1,1,0,1,-1,0,2,8,42,0,42,d,6.62,0.57,4.24,10,11,31,-100,60,0.499047921,0.6302509389,1,1,d,40.0,16,correct,correct,1,0
63,63,1,0,0,-1,-1,0,2,8,-54,0,-54,d,4.2,0.44,3.76,1,2,22,-100,60,0.36545209,0.5302012466,1,1,d,40.0,16,correct,correct,1,0
64,64,1,1,1,1,1,0,2,8,41,8,49,k,6.8,0.4,4.49,10,12,32,-100,60,0.2976772921,0.480173407,1,1,k,50.0,16,correct,correct,1,0
1,65,2,0,0,-1,-1,0,2,8,-42,0,-42,d,6.96,0.52,3.91,1,2,22,-100,61,0.3518116586,0.4701864843,0,1,k,50.0,16,incorrect,correct,0,1
2,66,2,0,0,-1,-1,0,2,8,-57,0,-57,d,4.2,0.66,3.61,1,2,22,-100,61,0.3659723907,0.5601856775,0,1,k,50.0,16,incorrect,incorrect,0,1
3,67,2,1,1,1,1,0,2,8,35,8,43,k,4.11,0.7,4.89,10,12,32,-100,60,0.2793877957,0.4599957179,1,1,k,50.0,16,correct,incorrect,1,0
4,68,2,1,0,1,-1,0,2,8,47,0,47,d,5.8,0.55,4.88,10,11,31,-100,60,0.4281268006,0.6102565667,1,1,d,40.0,16,correct,correct,1,0
5,69,2,1,0,1,-1,0,2,8,43,0,43,d,6.05,0.49,4.78,10,11,31,-100,60,0.0269678272,0.2600782247,1,1,d,40.0,16,correct,correct,1,0
6,70,2,1,1,1,1,0,2,8,34,8,42,k,4.99,0.5,3.56,10,12,32,-100,60,0.2148422833,0.4301039433,1,1,k,50.0,16,correct,correct,1,0
